"1","அக்கறை","இக்கறை","","","1"
"2","அக்கா","தங்கை","","","1"
"3","அகம்","புறம்","","","1"
"4","அகம்","புறம்","","","1"
"5","அகலம்","குறுகல்","","","1"
"6","அங்கே","இங்கே","","","1"
"7","அச்சம்","தைரியம்","","","1"
"8","அடி","நுனி","","","1"
"9","அடிமை","சுதந்திரம்","","","1"
"10","அடைத்தல்","திறத்தல்","","","1"
"11","அண்ணன்","தம்பி","","","1"
"12","அண்மை","தொலைவு","","","1"
"13","அதிகம்","குறைவு","","","1"
"14","அது","இது","","","1"
"15","அப்படி","இப்படி","","","1"
"16","அம்மா","அப்பா","","","1"
"17","அமர்ந்து","எழுந்து","","","1"
"18","அமைதி","ஆரவாரம்","","","1"
"19","அமைதி","இறைச்சல்","","","1"
"20","அமைதி","கோபம்","","","1"
"21","அமைதி","சத்தம்","","","1"
"22","அரங்கம்","அம்பலம்","","","1"
"23","அரிய","எளிய","","","1"
"24","அருகில்","தொலைவில்","","","1"
"25","அல்லும்","பகலும்","","","1"
"26","அவள்","அவன்","","","1"
"27","அவன்","இவன்","","","1"
"28","அழகு","அசிங்கம்","","","1"
"29","அழித்தல்","ஆக்கல்","","","1"
"30","அளித்தார்","பறித்தார்","","","1"
"31","அறப்போர்","மறப்போர்","","","1"
"32","அற்றகுளம்","அறாதகுளம்","","","1"
"33","அறிவாளி","முட்டாள்","","","1"
"34","அன்பான","அன்பற்ற","","","1"
"35","அன்பு","பகை","","","1"
"36","அன்றே","இன்றே","","","1"
"37","அனுமதி","மறு","","","1"
"38","ஆகும்","ஆகாது","","","1"
"39","ஆடவர்","பெண்டிர்","","","1"
"40","ஆண்","பெண்","","","1"
"41","ஆம்","இல்லை","","","1"
"42","ஆரம்பம்","முடிவு","","","1"
"43","ஆனந்தம்","சூடு","","","1"
"44","இடது","வலது","","","1"
"45","இடம்","வலம்","","","1"
"46","இணை","பிரிவு","","","1"
"47","இம்மை","மறுமை","","","1"
"48","இயற்கை","செயற்கை","","","1"
"49","இயற்கை","செயற்கை","","","1"
"50","இரவு","பகல்","","","1"
"51","இரவு","பகல்","","","1"
"52","இருட்டு","வெளிச்சம்","","","1"
"53","இருள்","ஒளி","","","1"
"54","இல்லை","உண்டு","","","1"
"55","இவர்","அவர்","","","1"
"56","இழப்பு","ஆதாயம்","","","1"
"57","இழிவு","உயர்வு","","","1"
"58","இழு","தள்ளு","","","1"
"59","இளமை","முதுமை","","","1"
"60","இளமை","முதுமை","","","1"
"61","இளமை","முதுமை","","","1"
"62","இறுதி","தொடக்கம்","","","1"
"63","இன்சொல்","புன்சொல்","","","1"
"64","இன்பம்","துன்பம்","","","1"
"65","இன்பம்","துன்பம்","","","1"
"66","இன்று","அன்று","","","1"
"67","இன்னா","இனிய","","","1"
"68","இனிப்பு","கசப்பு","","","1"
"69","இனிமை","கொடுமை","","","1"
"70","இனிய","இன்னாத","","","1"
"71","ஈரம்","உலர்ந்த","","","1"
"72","உடன்பாடு","மாறுபாடு","","","1"
"73","உண்டு","இல்லை","","","1"
"74","உண்மை","பொய்மை","","","1"
"75","உத்தமர்","அதமர்","","","1"
"76","உயரம்","குள்ளம்","","","1"
"77","உயர்வு","தாழ்வு","","","1"
"78","உயர்வு","தாழ்வு","","","1"
"79","உரிமை","அடிமை","","","1"
"80","உள்","வெளி","","","1"
"81","உள்நாடு","வெளிநாடு","","","1"
"82","உள்நாடு","வெளிநாடு","","","1"
"83","உள்பொருள்","வெளிப்பொருள்","","","1"
"84","உள்ளரங்கம்","வெளியரங்கம்","","","1"
"85","உள்ளே","வெளியே","","","1"
"86","உறங்கு","விழி","","","1"
"87","உற்றுழிவு","உறாவுழி","","","1"
"88","எட்டிய","எட்டா","","","1"
"89","எடு","வை","","","1"
"90","எழுச்சி","வீழ்ச்சி","","","1"
"91","எழுந்திரு","உட்காரு","","","1"
"92","எளிது","அரிது","","","1"
"93","எளிமை","பகட்டு","","","1"
"94","எளிய","அரிய","","","1"
"95","எளிய","கடின","","","1"
"96","ஏழை","செல்வன்","","","1"
"97","ஏற்றம்","இரக்கம்","","","1"
"98","ஏற்றம்","இறக்கம்","","","1"
"99","ஏற்றுமதி","இறக்குமதி","","","1"
"100","ஏறி","இறக்கி","","","1"
"101","ஏறி","இறங்கி","","","1"
"102","ஐயம்","தெளிவு","","","1"
"103","ஒழுங்காக","ஒழுங்கின்றி","","","1"
"104","ஒற்றுமை","பகைமை","","","1"
"105","ஒற்றுமை","வேற்றுமை","","","1"
"106","ஒறுமை","பன்மை","","","1"
"107","ஒன்று","பல","","","1"
"108","ஒன்று","பல","","","1"
"109","ஓங்கிய","தாழ்ந்த","","","1"
"110","கஞ்சன்","ஊதாரி","","","1"
"111","கட்டு","இடி","","","1"
"112","கடந்தகாலம்","எதிர்காலம்","","","1"
"113","கணவன்","மனைவி","","","1"
"114","கருப்பு","வெள்ளை","","","1"
"115","கருப்பு","வெளுப்பு","","","1"
"116","கருமை","வெண்மை","","","1"
"117","கலக்கம்","தேளிவு","","","1"
"118","கற்றல்","கற்பிததல்","","","1"
"119","காய்","கனி","","","1"
"120","காலை","மாலை","","","1"
"121","காலை","மாலை","","","1"
"122","கிழக்கு","மேற்கு","","","1"
"123","கிழக்கு","மேற்கு","","","1"
"124","கீழைநாடு","மேலைநாடு","","","1"
"125","குடியரசு","முடியரசு","","","1"
"126","குமரன்","குமரி","","","1"
"127","குழி","மேடு","","","1"
"128","குழு","தனி","","","1"
"129","குளுமை","சூடு","","","1"
"130","குனிந்து","நிமிர்ந்து","","","1"
"131","கூட்டல்","கழித்தல்","","","1"
"132","கூட்டல்","கழித்தல்","","","1"
"133","கூடி","பிரிந்து","","","1"
"134","கூடு","விலகு","","","1"
"135","கேடு","நலம்","","","1"
"136","கொஞ்சம்","நிரைய","","","1"
"137","சண்டை","சமாதானம்","","","1"
"138","சந்தோஷம்","துக்கம்","","","1"
"139","சரி","தவரு","","","1"
"140","சலுகை","சலுகையற்ற","","","1"
"141","சிரிய","பெரிய","","","1"
"142","சில","பல","","","1"
"143","சிற்றரசர்","பேரரசர்","","","1"
"144","சிற்றாறு","பேராறு","","","1"
"145","சிற்றூர்","பேரூர்","","","1"
"146","சிறியவர்","பெரியவர்","","","1"
"147","சிறுவன்","சிறுமி","","","1"
"148","சுத்தம்","அசுத்தம்","","","1"
"149","சூடு","குளிர்","","","1"
"150","சூரியன்","சந்திரன்","","","1"
"151","செம்மை","கருமை","","","1"
"152","செய்","செய்யாது","","","1"
"153","செய்வோம்","செய்யோம்","","","1"
"154","செல்க","வருக","","","1"
"155","செல்வர்","ஏழை","","","1"
"156","செலவு","வரவு","","","1"
"157","சேமிப்பு","செலவு","","","1"
"158","சேய்மை","அண்மை","","","1"
"159","சேர்ந்து","பிரித்து","","","1"
"160","சொர்க்கம்","நரகம்","","","1"
"161","சோம்பல்","சுறுசுறுப்பு","","","1"
"162","சோம்பல்","சுறுசுறுப்பு","","","1"
"163","தட்பம்","வெப்பம்","","","1"
"164","தண்மை","வெம்மை","","","1"
"165","தந்தை","தாய்","","","1"
"166","தப்பு","சரி","","","1"
"167","தம்பி","தங்கை","","","1"
"168","தலைவர்","தொண்டர்","","","1"
"169","தவறு","சரி","","","1"
"170","தள்ளு","இழு","","","1"
"171","தனியாக","கூட்டமாக","","","1"
"172","தாய்","தந்தை","","","1"
"173","திண்மம்","நீர்மம்","","","1"
"174","தீது","நன்று","","","1"
"175","துளி","நிறைய","","","1"
"176","தூங்கு","விழி","","","1"
"177","தூய்மை","அழுக்கு","","","1"
"178","தூய்மை","சுத்தம்","","","1"
"179","தூய்மை","மாசு","","","1"
"180","தூயன்","வீராங்கனை","","","1"
"181","தெற்கு","மேற்கு","","","1"
"182","தொடக்கம்","முடிவு","","","1"
"183","தொடங்கியது","முடிந்தது","","","1"
"184","தொன்மை","அண்மை","","","1"
"185","தோன்று","மறைய","","","1"
"186","நட்பு","பகை","","","1"
"187","நட்பு","பகை","","","1"
"188","நடு","ஓரம்","","","1"
"189","நண்பர்","பகைவர்","","","1"
"190","நண்பன்","பகைவன்","","","1"
"191","நண்பன்","பகைவன்","","","1"
"192","நம்பி","நங்கை","","","1"
"193","நல்லது","கெட்டது","","","1"
"194","நல்லது","கெட்டது","","","1"
"195","நன்மை","தீமை","","","1"
"196","நிதானம்","பதற்றம்","","","1"
"197","நிதானம்","வேகம்","","","1"
"198","நிரம்பிய","காலியான","","","1"
"199","நில்","அமர்","","","1"
"200","நில்","உட்கார்","","","1"
"201","நில்","செல்","","","1"
"202","நிறை","குறை","","","1"
"203","நிறைந்த","குறைந்த","","","1"
"204","நீக்கு","சேர்த்து","","","1"
"205","நீண்ட","குட்டை","","","1"
"206","நீண்ட","குறுகிய","","","1"
"207","நீதி","அநீதி","","","1"
"208","நீர்","நிலம்","","","1"
"209","நீளம்","குட்டை","","","1"
"210","நேர்","கோணல்","","","1"
"211","நேர்","மறை","","","1"
"212","நேர்மை","திருட்டு","","","1"
"213","நேற்று","இன்று","","","1"
"214","பகல்","இரவு","","","1"
"215","பகல்","இரவு","","","1"
"216","பயம்","துணிவு","","","1"
"217","பல","சில","","","1"
"218","பலர்","சிலர்","","","1"
"219","பழம்","காய்","","","1"
"220","பழம்பாடல்","புதுப்பாடல்","","","1"
"221","பழமை","புதுமை","","","1"
"222","பழி","புகழ்","","","1"
"223","பழைய","புதிய","","","1"
"224","பழைய","புதிய","","","1"
"225","பள்ளம்","மேடு","","","1"
"226","பள்ளம்","மேடு","","","1"
"227","பள்ளம்","மேடு","","","1"
